Time,camera_id,best_confidence,best_region,best_region_confidence,country,is_parked,frame_start,frame_end,epoch_start,epoch_end,best_uuid,travel_direction,vehicle-make-name,vehicle-make-confidence,vehicle-make_model-name,vehicle-make_model-confidence,vehicle-body_type-name,vehicle-body_type-confidence,vehicle-color-name,vehicle-color-confidence
2022-09-02 05:51:17,221388142,93.86100769,us-az,98.36363983,us,FALSE,629246,629294,1662123071578,1662123073165,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123073075,127.9263306,kenworth,58.98026276,ford_f-350,46.2769165,tractor-trailer,97.53917694,white,99.57594299
2022-09-02 05:51:18,221388142,92.75025177,us-ri,74,us,FALSE,629265,629314,1662123072217,1662123073824,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123073165,120.3892212,kenworth,91.80693817,ford_f-350,49.25808716,tractor-trailer,99.96039581,white,99.32885742
2022-09-02 05:51:54,221388142,93.71908569,us-az,99,us,FALSE,630367,630399,1662123108951,1662123110009,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123109839,128.8007507,kenworth,23.76558113,ford_f-350,15.4223423,tractor-trailer,99.4573288,white,99.38342285
2022-09-02 05:53:20,221388142,93.19774628,us-in,94.83333588,us,FALSE,632889,632996,1662123192999,1662123196562,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123196123,128.936676,kenworth,51.19093704,ford_f-350,25.96787262,tractor-trailer,99.93601227,white,92.47521973
2022-09-02 05:53:32,221388142,93.71620178,us-ca,99,us,FALSE,633310,633362,1662123207048,1662123208775,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123208775,133.7287598,mercedes-benz,61.41433716,mercedes-benz_lkw,45.57860947,tractor-trailer,99.96889496,blue,95.90847778
2022-09-02 05:53:49,221388142,93.00124359,us-ri,84,us,FALSE,633823,633852,1662123224145,1662123225113,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123224145,123.3039856,ford,95.53440857,ford_f-350,58.07661438,tractor-trailer,91.72660828,white,97.93096924
2022-09-02 05:53:49,221388142,93.76979828,us-az,98.55555725,us,TRUE,633820,633863,1662123224045,1662123225463,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123225173,128.6129761,kenworth,44.17244339,ford_f-350,31.03467178,tractor-trailer,99.89916992,white,99.87369537
2022-09-02 05:55:51,221388142,93.4025116,us-in,95.7142868,us,FALSE,637498,637543,1662123346653,1662123348150,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123347541,133.4376526,volvo,36.39933777,ford_f-350,33.19712448,tractor-trailer,99.99391174,white,99.89564514
2022-09-02 05:56:05,221388142,93.455513,us-ca,91,us,FALSE,637916,637946,1662123360557,1662123361555,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123361555,133.3579407,nissan,0,ford_f-350,0,tractor-trailer,99.01493835,black,0
2022-09-02 05:56:34,221388142,93.91722107,us-tx,99,us,FALSE,638675,638825,1662123385861,1662123390861,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123390382,135.1060791,chevrolet,0,ford_f-150,0,tractor-trailer,45.86475372,black,0
