,CO2_HW,CO2_ p_h,CO2_ p_Area ,CO2 (mg/m3),CO2 (ug/m3),CO2_EF,,acutal T1,, Actual time
154,13.96833306,383.6812037,5359.386841,9644.704335,9644704.335,30412967.67,22636.93471,,22650.90304,
155,92.99363356,389.1931203,36192.48242,65131.6657,65131665.7,205381852.5,22727.11854,,22820.11217,
156,121.8779817,390.4066659,47581.97649,85628.09674,85628096.74,270013931.7,22879.03696,,23000.91494,
157,11.90269377,400.714155,4769.577877,8583.289432,8583289.432,27065972.67,22955.5581,,22967.46079,
158,91.64566332,384.1078119,35201.81521,63348.8699,63348869.9,199760103.1,23095.60911,,23187.25478,
159,67.03701946,379.620994,25448.65996,45797.17948,45797179.48,144413772.6,23256.58575,,23323.62277,
160,95.32552612,377.6591858,36000.56058,64786.2849,64786284.9,204292751.7,23402.55486,,23497.88039,
161,53.58078628,379.0969061,20312.3103,36553.85085,36553850.85,115266476.3,23570.25049,,23623.83127,
162,81.91804112,395.0548457,32362.11909,58238.57832,58238578.32,183645650.3,23700.74491,,23782.66295,
163,117.3713764,382.1525104,44853.76616,80718.43398,80718433.98,254532128.5,23832.72652,,23950.0979,
164,5.630418473,386.9147023,2178.491687,3920.394039,3920394.039,12362309.2,23867.57234,,23873.20276,
165,25.79616598,383.1606717,9884.076285,17787.29475,17787294.75,56089269.43,23918.99318,,23944.78935,
166,52.48851017,379.1849424,19902.8527,35816.99464,35816994.64,112942923.1,24020.77222,,24073.26073,
167,85.88898292,378.1539651,32479.25945,58449.38306,58449383.06,184310387.9,24153.64959,,24239.53857,
168,129.4266746,390.2324357,50506.48648,90891.01862,90891018.62,286609678.7,24377.9474,,24507.37408,
169,90.23958073,388.4596179,35054.43305,63083.64229,63083642.29,198923752,24610.54378,,24700.78336,
170,98.54465795,390.2060655,38452.72326,69199.17478,69199174.78,218208064.5,24825.4333,,24923.97796,
171,109.6098943,378.2537852,41460.3574,74611.68613,74611686.13,235275516.9,24990.07148,,25099.68138,
172,20.85066065,378.753565,7897.262052,14211.84173,14211841.73,44814674.25,25070.79166,,25091.64232,
173,191.2923243,388.679833,74351.46865,133802.234,133802234,421923044.4,25298.19528,,25489.4876,
174,97.61316316,381.8181887,37270.48115,67071.62252,67071622.52,211499183,25714.01527,,25811.62843,
175,84.14441711,397.895172,33480.65732,60251.48965,60251489.65,189993030.7,25929.78014,,26013.92455,
176,4.555791422,395.3342104,1801.060204,3241.171738,3241171.738,10220494.88,26096.74145,,26101.29724,
177,62.14129229,384.9947127,23924.06897,43053.53926,43053539.26,135762160.5,26071.727,,26133.86829,
178,64.82849292,383.9754423,24892.54924,44796.40763,44796407.63,141258005.4,26197.82261,,26262.6511,
179,67.11172784,379.150502,25445.4453,45791.39441,45791394.41,144395530.4,26331.71858,,26398.83031,
180,71.53490792,381.4631305,27287.92992,49107.11314,49107113.14,154851096.8,26511.9524,,26583.4873,
181,87.86904681,383.5172924,33699.29892,60644.95511,60644955.11,191233758.4,26688.38524,,26776.25429,
182,58.84584969,369.1971805,21725.72179,39097.41345,39097413.45,123287177.1,26840.15734,,26899.00319,
183,3.649814513,372.7016368,1360.291843,2447.968961,2447968.961,7719262.123,26873.8294,,26877.47922,
184,55.78712329,367.4871608,20501.05155,36893.5079,36893507.9,116337528.2,26963.68476,,27019.47188,
185,56.96547875,377.9398207,21529.52282,38744.33555,38744335.55,122173804.8,27167.24631,,27224.21179,
186,102.8064452,372.270414,38271.79793,68873.58319,68873583.19,217181365.7,27265.91296,,27368.7194,
187,42.49523615,373.3704381,15866.46494,28553.14754,28553147.54,90037591.9,27412.83118,,27455.32642,
188,28.27736406,365.8621526,10345.61728,18617.87977,18617879.77,58708380.88,27580.31906,,27608.59642,
189,149.2481338,365.348002,54527.50751,98127.21187,98127211.87,309427808.1,27630.68369,,27779.93183,
190,103.5367917,365.2360757,37815.37149,68052.20228,68052202.28,214591277.8,27869.56735,,27973.10414,
191,90.49757134,379.4651067,34340.67057,61799.16176,61799161.76,194873356.8,28086.92357,,28177.42114,
192,70.56688741,382.1465967,26966.89586,48529.38315,48529383.15,153029321.5,28237.78299,,28308.34987,
193,81.11167969,384.6876248,31202.65941,56152.02511,56152025.11,177066052.5,28367.63096,,28448.74264,
194,11.74763347,362.807951,4262.134828,7670.099485,7670099.485,24186380.38,28514.57311,,28526.32075,
195,140.6600695,368.1547553,51784.67348,93191.23244,93191232.44,293863019.6,28578.3355,,28718.99557,
196,53.97438214,371.4862829,20050.74259,36083.13596,36083135.96,113782155.4,28756.36875,,28810.34313,
197,65.49740772,370.7243182,24281.48182,43696.7362,43696736.2,137790374.8,28891.72864,,28957.22605,
198,107.89139,371.9361568,40128.70894,72215.26354,72215263.54,227718797.7,29018.88603,,29126.77742,
199,178.8658764,370.1312424,66203.84906,119139.8511,119139851.1,375687663.7,29209.4086,,29388.27448,
200,16.173459,381.3043702,6167.010596,11098.09678,11098096.78,34995998.5,29293.90681,,29310.08027,
201,52.9669216,362.8742955,19220.33436,34588.74077,34588740.77,109069829.2,29468.29389,,29521.26081,
202,30.45384682,360.9130804,10991.19167,19779.64962,19779649.62,62371828.48,29689.53844,,29719.99228,
203,174.8719414,358.2848406,62653.96567,112751.5129,112751512.9,355543103.9,29665.2399,,29840.11185,
204,116.5416753,360.415928,42003.47604,75589.07754,75589077.54,238357557.8,29917.6089,,30034.15058,
205,61.63102211,359.9978402,22187.03485,39927.58827,39927588.27,125904995,30103.20559,,30164.83661,
206,50.41420286,353.7466524,17833.8555,32093.64588,32093645.88,101201963.4,30230.70591,,30281.12011,
207,61.70893688,355.8362644,21958.27758,39515.91875,39515918.75,124606863.8,30366.40895,,30428.11789,
208,11.18131981,357.4878931,3997.18646,7193.300787,7193300.787,22682875.15,30597.99165,,30609.17297,
209,190.4423555,354.9841816,67604.02371,121659.5928,121659592.8,383633249.2,30550.63194,,30741.07429,
210,20.429274,351.0528058,7171.753958,12906.22389,12906223.89,40697626.01,30853.33407,,30873.76334,
211,19.34742079,351.8800906,6807.972179,12251.56548,12251565.48,38633269.8,30908.67781,,30928.02523,
