,BC_HW,BC_p_h,BC (ug/m3),BC_EF,BC_t1,BC_actual_TS,BC_t2
254,56.07225817,1.574701799,88.29708583,911.2259258,33054.40043,,33110.47268
255,6.639727524,1.83502507,12.18406646,125.7395659,33083.11302,,33089.75274
256,10.93761004,1.480938435,16.1979271,167.1626077,33156.59198,,33167.52959
257,81.24388713,1.4097328,114.5321725,1181.97202,33140.95268,,33222.19657
258,1.243038374,1.405873307,1.747554469,18.03476212,33228.25696,,33229.5
259,2.124022742,1.405879828,2.986120727,30.8167659,33230.20076,,33232.32478
260,97.59457123,1.648652966,160.8995793,1660.483658,33458.90045,,33556.49503
261,97.15897457,2.409859681,234.1394955,2416.319594,33668.96493,,33766.12391
262,9.152628885,1.60119909,14.65518104,151.2414683,33821.36036,,33830.51299
263,60.23205976,1.799202911,108.3696972,1118.375275,33884.05066,,33944.28272
264,58.94386982,1.790288325,105.526522,1089.033707,34005.29462,,34064.23849
265,1.079038782,1.562910829,1.686441396,17.40407521,34164.42096,,34165.5
266,62.41696758,1.420588025,88.66879669,915.0619818,34136.24267,,34198.65963
267,100.0610741,2.973414854,297.5230841,3070.438228,34363.23944,,34463.30051
268,71.22547385,1.972455441,140.4890734,1449.847237,34522.04359,,34593.26906
269,38.91435124,2.052447996,79.86968224,824.2551207,34635.24268,,34674.15703
270,71.82850452,4.356062173,312.8894315,3229.018933,34773.28728,,34845.11579
271,49.68243065,1.709481107,84.93117656,876.4897421,34914.44315,,34964.12558
272,13.10647829,1.75822981,23.04420083,237.8161526,34939.76983,,34952.87631
273,55.3420352,1.648337118,91.22233082,941.4144541,34986.9342,,35042.27624
274,177.9139131,1.896986066,337.500214,3483.002208,35163.27922,,35341.19314
275,31.97971577,2.151302899,68.79805523,709.99593,35281.83262,,35313.81234
276,146.0622252,1.772811794,258.9408354,2672.269421,35410.94734,,35557.00956
277,59.60236585,1.935440934,115.3568586,1190.482781,35680.84648,,35740.44884
278,6.727995202,1.795641666,12.08106851,124.676627,35816.19409,,35822.92209
279,15.10798258,1.813789057,27.40269347,282.7957966,35852.65463,,35867.76261
280,115.71588,1.757758401,203.4005602,2099.093781,35807.0675,,35922.78338
281,39.46058501,2.064103357,81.45072599,840.5714922,36015.55933,,36055.01992
282,46.75598885,2.180092403,101.9323761,1051.942121,36120.68092,,36167.43691
283,69.73715426,4.699272001,327.7138564,3382.006998,36227.46486,,36297.20201
284,69.23940211,24.66267179,1707.628649,17622.72766,36371.6506,,36440.89
285,49.47488017,3.605173239,178.365514,1840.732104,36518.04336,,36567.51824
286,33.94772597,1.758565118,59.69928672,616.096639,36593.29467,,36627.24239
287,5.805616397,1.535066186,8.912005421,91.97189594,36635.58088,,36641.3865
288,106.8181941,2.697332648,288.1242023,2973.441768,36683.91396,,36790.73215
289,17.80973667,1.769839198,31.52037007,325.2902191,36826.99464,,36844.80437
290,21.28665816,2.106603596,44.84255062,462.7751224,36922.43382,,36943.72048
291,74.07837918,3.968871201,294.0075458,3034.157873,37004.16947,,37078.24785
292,64.73901693,3.00812912,194.743322,2009.751083,37143.91343,,37208.65245
293,57.34778157,1.67402581,96.00166651,990.7371984,37277.26049,,37334.60827
294,5.812713985,2.03891032,11.85160253,122.3085381,37306.37279,,37312.1855
295,10.06011703,1.303090264,13.10924056,135.2873626,37360.92806,,37370.98818
296,18.85613083,1.471985956,27.75595977,286.4415048,37411.42991,,37430.28605
297,63.71138147,2.164158213,137.8815094,1422.937177,37503.89972,,37567.6111
298,112.6834026,9.340342576,1052.501583,10861.81634,37656.80051,,37769.48392
299,27.33622568,2.997110522,81.92968959,845.5143966,37882.2782,,37909.61442
300,3.580561108,3.88495579,13.91032161,143.554519,37993.39936,,37996.97992
301,184.062911,6.670472177,1227.786527,12670.75696,38110.91245,,38294.97536
302,42.86274691,2.296649472,98.44070506,1015.908076,38383.18595,,38426.0487
303,65.19990771,2.246883419,146.4965915,1511.844824,38461.4446,,38526.6445
304,40.30244655,2.017491052,81.30982529,839.117397,38637.33461,,38677.63706
305,59.14593485,2.545122329,150.5336395,1553.50716,38757.32076,,38816.4667
306,93.13970891,2.512037944,233.9704829,2414.575384,38900.47511,,38993.61482
307,105.0122855,7.82178298,821.3833077,8476.675735,39087.72598,,39192.73826
308,46.96458083,2.234059513,104.9216686,1082.79162,39271.80782,,39318.7724
309,157.3213708,1.801785729,283.4594008,2925.301016,39383.42708,,39540.74845
310,14.91276327,2.076853717,30.97162784,319.6271993,39438.5402,,39453.45296
311,0.516052699,2.03249955,1.048876879,10.82440939,39469.5,,39470.01605
312,4.716323425,2.017758327,9.516400862,98.2092569,39482.55441,,39487.27074
313,221.0263756,2.548239267,563.2280892,5812.513881,39803.82028,,40024.84666
314,34.23037904,4.548759162,155.7057503,1606.883343,39954.2923,,39988.52268
315,60.03300333,1.51253323,90.80191242,937.0757362,40094.48775,,40154.52075
316,95.20739975,1.510105502,143.7732182,1483.739612,40239.42116,,40334.62856
317,120.839527,2.119357099,256.1021093,2642.973768,40411.35813,,40532.19766
318,95.32662533,2.564739809,244.4879909,2523.116066,40638.59971,,40733.92634
319,17.81764728,1.552212491,27.65677466,285.4179145,40829.23358,,40847.05123
320,76.61282654,2.401697031,184.0007981,1898.888236,40896.63302,,40973.24584
321,70.10182682,4.173635589,292.5794793,3019.420226,41048.27518,,41118.37701
322,5.429885852,1.56125242,8.477422427,87.48699945,41191.52494,,41196.95483
323,70.63362845,2.317173791,163.6703926,1689.078452,41227.05469,,41297.68832
324,71.13025033,4.455160848,316.8967063,3270.374009,41363.71624,,41434.84649
325,55.9060859,1.456945631,81.45212762,840.585957,41499.88569,,41555.79178
326,5.027610009,2.412066499,12.12692967,125.1499142,41530.06992,,41535.09753
327,75.37669339,3.035167516,228.7808913,2361.018798,41619.19174,,41694.56843
328,105.1161817,2.448352905,257.3615089,2655.970772,41757.39742,,41862.5136
329,80.0605035,4.979906217,398.6937991,4114.520007,41932.90185,,42012.96235
330,62.44949932,4.265798555,266.3969839,2749.216874,42076.07213,,42138.52163
331,34.15577767,1.775591122,60.6466956,625.8738986,42201.25991,,42235.41569
332,100.6844337,5.758872543,579.8288207,5983.83343,42318.53632,,42419.22076
333,14.79380603,4.216341141,62.37573299,643.7175645,42457.84584,,42472.63965
334,4.029551859,2.533462574,10.20871882,105.3539782,42541.2322,,42545.26175
335,83.25726801,2.338303914,194.6807956,2009.105811,42653.28407,,42736.54134
336,95.18209635,1.866842822,177.6900134,1833.760938,42868.53168,,42963.71378
337,63.66017295,2.03331801,129.4413762,1335.835002,43027.82922,,43091.4894
338,77.42619637,2.452387708,189.8790522,1959.551819,43155.22283,,43232.64902
339,97.06042171,2.738349403,265.7853478,2742.904789,43353.42141,,43450.48183
340,133.8032052,4.928251149,659.4157998,6805.171054,43618.23298,,43752.03618
341,5.295518683,2.16056191,11.44129596,118.0741743,43836.61148,,43841.907
